2022-02-22 10:21:08,170 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:21:08,170 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:48)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:21:08,170 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 오전(0), 오후(1)0
2022-02-22 10:21:08,170 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:54)     - 시간 0~11 : 10
2022-02-22 10:21:08,171 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:57)     - 시간 0~23 : 10
2022-02-22 10:21:08,173 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:60)     - 분 0~59 : 21
2022-02-22 10:21:08,173 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:63)     - 초 0~59 : 8
2022-02-22 10:21:16,860 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:21:16,862 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:21:16,862 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:21:16,862 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:21:16,862 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:48)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:21:16,862 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 오전(0), 오후(1)0
2022-02-22 10:21:16,863 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:54)     - 시간 0~11 : 10
2022-02-22 10:21:16,863 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:57)     - 시간 0~23 : 10
2022-02-22 10:21:16,864 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:60)     - 분 0~59 : 21
2022-02-22 10:21:16,864 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:63)     - 초 0~59 : 16
2022-02-22 10:23:24,280 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:23:24,283 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:23:24,283 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:23:24,283 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:23:24,283 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:48)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:23:24,283 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 오전(0), 오후(1)0
2022-02-22 10:23:24,283 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:54)     - 시간 0~11 : 10
2022-02-22 10:23:24,283 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:57)     - 시간 0~23 : 10
2022-02-22 10:23:24,285 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:60)     - 분 0~59 : 23
2022-02-22 10:23:24,285 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:63)     - 초 0~59 : 24
2022-02-22 10:23:24,285 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:66)     - 1000분의 1초 : 216
2022-02-22 10:25:53,948 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:25:53,950 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:25:53,950 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:25:53,950 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:25:53,950 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:48)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:25:53,950 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 오전(0), 오후(1)0
2022-02-22 10:25:53,950 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:54)     - 시간 0~11 : 10
2022-02-22 10:25:53,950 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:57)     - 시간 0~23 : 10
2022-02-22 10:25:53,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:60)     - 분 0~59 : 25
2022-02-22 10:25:53,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:63)     - 초 0~59 : 53
2022-02-22 10:25:53,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:66)     - 1000분의 1초 : 888
2022-02-22 10:25:53,952 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:68)     - 10:25:53
